mime	releaseYear
application/pdf	1993
application/x-shockwave-flash	1996
application/xhtml+xml	2000
image/png	1996
text/html	1995
image/gif	1987
image/bmp	1985
image/jpeg	1991
image/tiff	1986
image/fits	1980
image/vnd.ms-photo	2006
image/jp2	2000
image/svg+xml	2003
image/x-tga	1984
image/x-xbitmap	1989
image/vnd.dwg	1982
image/cgm	1986
image/x-pict	1999
application/postscript	1982
application/rtf	1987
application/msword	1983
application/vnd.oasis.opendocument.text	1999
application/vnd.ms-htmlhelp	1997
application/vnd.ms-word.document.macroEnabled.12	2007
application/vnd.openxmlformats-officedocument.wordprocessingml.document	2007
application/vnd.openxmlformats-officedocument.wordprocessingml.template	2007
application/eps	1992
application/vnd.oasis.opendocument.text	2005
application/x-iwork-pages-sffpages	2005
application/x-mspublisher	1991
application/vnd.sun.xml.writer	1985
application/wordperfect	1979
application/vnd.ms-works	1988
application/vnd.ms-xpsdocument	2006
application/x-7z-compressed	1999
application/x-bzip2	2000
application/x-gzip	1992
application/x-rar-compressed	1993
application/x-tar	1988
application/x-gtar	1990
application/zip	1989
	



